timestamp,event_type,side,level,volume,order_id
0.03130518753878434,limit,ask,1,9,
0.06761234083407741,limit,ask,1,6,
0.073376597286682,limit,bid,3,1,
0.09349215699141616,limit,ask,2,6,
0.3907453665024281,limit,ask,1,1,
0.4007020892716817,limit,ask,1,10,
0.4813700229277681,limit,ask,1,1,
0.49962749892522906,market,bid,1,4,
0.5694486864716138,limit,bid,2,14,
0.5917344029173378,limit,ask,3,15,
0.6186509884620974,cancel,bid,1,16,
0.6316488326562036,limit,bid,2,17,
0.6991253783008131,cancel,bid,2,10,
0.7676621366251049,limit,ask,4,7,
0.8537044572697662,limit,ask,2,59,
0.9875088615370324,limit,bid,2,1,
1.0355491500694425,limit,bid,1,17,
1.0463509466934418,limit,bid,3,1,
1.0928751721056411,limit,ask,3,23,
1.1181779064959383,limit,bid,3,37,
1.131006983241858,limit,bid,1,7,
1.2008987300956155,limit,bid,1,5,
1.2666458147773634,cancel,ask,1,11,
1.3556417810485804,limit,ask,2,24,
1.4810344779092797,limit,bid,1,12,
1.4860922937245349,limit,bid,1,4,
1.4903473969152703,limit,bid,1,5,
1.4923854535517445,cancel,ask,1,3,
1.5260832210451014,limit,bid,3,59,
1.5761260946068099,limit,bid,1,5,
1.6006280468497531,market,bid,1,1,
1.8408122193406817,limit,bid,2,1,
1.9006117887412113,cancel,ask,2,3,
1.936956873214914,limit,ask,1,18,
1.9689303249105758,limit,ask,5,22,
2.099524456315961,market,ask,1,3,
2.157524677413392,limit,bid,1,3,
2.181408648447561,market,ask,1,7,
2.401146896533702,cancel,ask,1,2,
2.421603532337765,limit,bid,2,27,
2.5683178310110097,limit,ask,3,1,
2.6547172594489954,cancel,ask,2,7,
2.6704136895507458,market,bid,1,19,
2.953461536047786,limit,bid,4,15,
2.9682081984983704,limit,bid,3,19,
2.980658326316754,market,ask,1,12,
3.0147431819707604,limit,bid,1,42,
3.096815637845088,limit,ask,1,24,
3.2345406522261175,limit,bid,1,3,
3.303998032091738,limit,bid,1,28,
3.338135830677539,limit,ask,3,6,
3.53370284187257,limit,ask,1,1,
3.579131538728605,limit,bid,3,2,
3.6293514462251233,market,ask,1,4,
3.6865912584236264,limit,ask,1,9,
3.709023680551197,limit,ask,1,9,
3.821325607457872,cancel,bid,2,8,
3.877907422447172,market,bid,1,9,
3.92904881019491,cancel,ask,3,34,
3.952493766575597,limit,ask,3,1,
3.9626119419601546,limit,bid,1,1,
